name,domain,website,land,standort,branche,mitarbeiterzahl
TechVision GmbH,techvision.de,https://techvision.de,Deutschland,München,Software,250
DataFlow AG,dataflow.ch,https://dataflow.ch,Schweiz,Zürich,Analytics,120
CloudBase Ltd,cloudbase.io,https://cloudbase.io,Deutschland,Berlin,Cloud,80
MarketPro GmbH,marketpro.de,https://marketpro.de,Deutschland,Hamburg,Marketing,320
InnoFinance AG,innofinance.at,https://innofinance.at,Österreich,Wien,Fintech,150
SalesBoost GmbH,salesboost.de,https://salesboost.de,Deutschland,Frankfurt,CRM,95
DigitalBridge AG,digitalbridge.ch,https://digitalbridge.ch,Schweiz,Basel,IT-Beratung,430
AutomatePro GmbH,automatepro.de,https://automatepro.de,Deutschland,Stuttgart,Automatisierung,175
LeadEngine Ltd,leadengine.io,https://leadengine.io,Deutschland,Berlin,MarTech,60
GrowthHQ GmbH,growthhq.de,https://growthhq.de,Deutschland,Düsseldorf,Marketing,140
